        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25       0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! AG04 MOD
! x/c      y/c
0.0010   0.0054
0.0025   0.0084
0.0050   0.0123
0.0075   0.0150
0.0125   0.0195
0.0250   0.0273
0.0500   0.0366
0.0750   0.0420
0.1000   0.0453
0.1500   0.0482
0.2000   0.0484
0.2500   0.0470
0.3000   0.0447
0.3500   0.0416
0.4000   0.0382
0.4500   0.0346
0.5000   0.0310
0.5500   0.0274
0.6000   0.0241
0.6500   0.0209
0.7000   0.0181
0.7500   0.0156
0.8000   0.0133
0.8500   0.0111
0.9000   0.0090
0.9500   0.0069
0.9750   0.0058
1.0000   0.0046
0.9750  -0.0079
0.9500  -0.0110
0.9000  -0.0173
0.8500  -0.0236
0.8000  -0.0298
0.7500  -0.0358
0.7000  -0.0418
0.6500  -0.0477
0.6000  -0.0535
0.5500  -0.0590
0.5000  -0.0642
0.4500  -0.0688
0.4000  -0.0728
0.3500  -0.0759
0.3000  -0.0779
0.2500  -0.0786
0.2000  -0.0774
0.1500  -0.0734
0.1000  -0.0652
0.0750  -0.0586
0.0500  -0.0492
0.0250  -0.0350
0.0125  -0.0242
0.0075  -0.0182
0.0050  -0.0148
0.0025  -0.0097
0.0010  -0.0056
