        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25       0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! Blend 2
! x/c      y/c
0.0010   0.0057
0.0025   0.0089
0.0050   0.0130
0.0075   0.0159
0.0125   0.0207
0.0250   0.0290
0.0500   0.0390
0.0750   0.0447
0.1000   0.0483
0.1500   0.0516
0.2000   0.0519
0.2500   0.0505
0.3000   0.0480
0.3500   0.0448
0.4000   0.0413
0.4500   0.0375
0.5000   0.0336
0.5500   0.0298
0.6000   0.0262
0.6500   0.0228
0.7000   0.0197
0.7500   0.0169
0.8000   0.0143
0.8500   0.0119
0.9000   0.0095
0.9500   0.0070
0.9750   0.0058
1.0000   0.0045
0.9750  -0.0079
0.9500  -0.0111
0.9000  -0.0177
0.8500  -0.0243
0.8000  -0.0308
0.7500  -0.0371
0.7000  -0.0434
0.6500  -0.0496
0.6000  -0.0556
0.5500  -0.0614
0.5000  -0.0668
0.4500  -0.0717
0.4000  -0.0758
0.3500  -0.0791
0.3000  -0.0813
0.2500  -0.0821
0.2000  -0.0808
0.1500  -0.0768
0.1000  -0.0683
0.0750  -0.0614
0.0500  -0.0516
0.0250  -0.0368
0.0125  -0.0254
0.0075  -0.0191
0.0050  -0.0155
0.0025  -0.0101
0.0010  -0.0058
