        56   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.5        0
! coordinates of airfoil shape; data from Kimball, 2014. (OMAE2014-24166)
! Cylinder
! x/c      y/c
0.0010   0.0315
0.0025   0.0499
0.0050   0.0705
0.0075   0.0863
0.0125   0.1111
0.0250   0.1561
0.0500   0.2179
0.0750   0.2634
0.1000   0.3000
0.1500   0.3571
0.2000   0.4000
0.2500   0.4330
0.3000   0.4583
0.3500   0.4770
0.4000   0.4899
0.4500   0.4975
0.5000   0.5000
0.5500   0.4975
0.6000   0.4899
0.6500   0.4770
0.7000   0.4583
0.7500   0.4330
0.8000   0.4000
0.8500   0.3571
0.9000   0.3000
0.9500   0.2179
0.9750   0.1561
1.0000   0.0000
0.9750  -0.1561
0.9500  -0.2179
0.9000  -0.3000
0.8500  -0.3571
0.8000  -0.4000
0.7500  -0.4330
0.7000  -0.4583
0.6500  -0.4770
0.6000  -0.4899
0.5500  -0.4975
0.5000  -0.5000
0.4500  -0.4975
0.4000  -0.4899
0.3500  -0.4770
0.3000  -0.4583
0.2500  -0.4330
0.2000  -0.4000
0.1500  -0.3571
0.1000  -0.3000
0.0750  -0.2634
0.0500  -0.2179
0.0250  -0.1561
0.0125  -0.1111
0.0075  -0.0863
0.0050  -0.0705
0.0025  -0.0499
0.0010  -0.0316
